Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I need money to purchase updated equipment for my photography business.,129134,520,67316,16.68,unemployed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,81414,360,14977,32.99,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,186251,790,93938,14.53,employed,Approved
I need money to publish and market my self-written book.,58750,534,10534,70.38,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,41019,538,22395,85.23,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,199340,827,8561,20.11,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,57624,796,21157,22.56,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,111407,651,19677,21.79,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,156253,724,100734,12.21,unemployed,Rejected
I need money to cover adoption fees and related expenses.,33781,514,7534,47.17,employed,Rejected
I need financial help to pay off my high-interest payday loans.,53243,793,21459,16.84,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,56859,788,2862,42.51,employed,Approved
I need money to open a small bookstore and café.,112423,651,43431,36.49,employed,Approved
I need a loan to cover moving expenses after being transferred to another city.,116129,351,31884,13.65,employed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,27636,819,17527,41.67,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,160600,324,98816,16.41,employed,Rejected
I need financial help to build my dream home in the countryside.,81773,828,47556,47.95,employed,Approved
I need money to purchase specialized tools for my auto repair shop.,79095,799,51735,59.0,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,173692,565,74420,27.66,unemployed,Rejected
I need funds to enroll in a professional certification program.,160023,367,109367,11.39,employed,Rejected
I need financial support to renovate my rental apartment.,30011,716,3349,49.37,unemployed,Rejected
I need money to invest in a franchise business opportunity.,44886,537,24009,42.76,unemployed,Rejected
I need a loan to pay for a down payment on my first home.,69580,553,4854,51.65,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,104430,655,26032,29.31,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,89505,417,47333,52.93,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,194103,413,15815,21.43,unemployed,Rejected
I need financial help to build my dream home in the countryside.,167994,438,50414,8.59,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,114538,439,84130,34.83,unemployed,Rejected
I want to make home improvements like installing solar panels.,187471,565,1027,6.38,employed,Approved
I need money to invest in stock trading and portfolio building.,92903,624,60325,51.78,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,127869,657,86253,33.71,employed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,24665,799,7236,134.37,employed,Rejected
I need money to purchase specialized tools for my auto repair shop.,80438,725,56498,29.72,employed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,80450,807,12846,15.36,employed,Approved
I need financial support to renovate my rental apartment.,123321,549,66411,6.87,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,179320,636,55034,22.17,employed,Approved
I need financial help to build my dream home in the countryside.,65013,701,10778,29.56,employed,Approved
I want to expand my small online clothing store.,33027,481,12762,95.22,unemployed,Rejected
I need financial support to pay for my son's football training program.,93755,788,39175,23.8,employed,Approved
I need financial support to open a daycare center in my neighborhood.,123143,802,43695,16.19,employed,Approved
I need money to refinance my home loan at a lower interest rate.,124870,316,33395,31.31,unemployed,Rejected
I need a loan to buy a reliable used car for work commuting.,63774,819,30890,68.69,unemployed,Rejected
I need a loan to start a small business.,181918,516,54354,27.46,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,93303,786,26739,47.46,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,182763,644,43946,16.7,employed,Approved
I want to pay off my payday loans and switch to a lower-interest option.,96298,453,18502,33.55,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,41251,838,20763,97.68,employed,Rejected
I need money to invest in a franchise business opportunity.,145206,362,28331,7.5,unemployed,Rejected
I want to expand my small online clothing store.,172893,394,102561,18.52,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,68857,445,47001,18.71,unemployed,Rejected
I need money to invest in stock trading and portfolio building.,111412,583,40121,8.43,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,145604,482,101668,4.52,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,79133,529,48929,42.96,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,176815,403,37080,18.96,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,59418,579,38723,35.4,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",125095,526,6061,6.02,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,65326,512,42913,29.34,employed,Rejected
I need money to purchase specialized tools for my auto repair shop.,151102,802,88073,12.18,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,77934,489,8107,12.66,unemployed,Rejected
I want to make home improvements like installing solar panels.,120672,445,85241,24.95,unemployed,Rejected
I need a loan to pay for a down payment on my first home.,77639,636,8677,63.18,employed,Rejected
I need financial help to cover maternity and delivery expenses.,199718,773,79350,9.47,unemployed,Rejected
I need money to invest in a franchise business opportunity.,157185,651,5828,3.26,unemployed,Rejected
I need money to invest in stock trading and portfolio building.,181646,567,43911,19.23,employed,Approved
I need a loan to pay for legal fees related to my business license.,190645,401,108893,15.96,employed,Rejected
I need a loan to buy a reliable used car for work commuting.,162770,755,117312,26.16,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,161474,692,85856,12.53,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,138734,737,82724,14.5,unemployed,Rejected
I need funds to pay for my pilot training program.,80371,681,32136,16.67,employed,Approved
I need a loan to pay for legal fees related to my business license.,23007,318,12837,150.72,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,87327,309,37136,54.59,employed,Rejected
I need funds to buy new furniture and appliances for my house.,153789,536,76197,24.58,employed,Rejected
I need money to refinance my home loan at a lower interest rate.,37388,770,5888,69.0,employed,Rejected
I need a loan to start a small business.,188338,780,4151,23.44,unemployed,Rejected
I need a loan to build a website and market my freelance services.,188127,814,106379,21.37,employed,Approved
I need a loan to upgrade my small music studio with better equipment.,65659,682,47282,48.96,employed,Rejected
I want to buy a car for my rideshare business on Uber.,131776,567,23425,5.79,employed,Approved
I want to invest in livestock to start a small dairy farm.,167060,326,45792,8.67,employed,Rejected
I need money to purchase a food truck and start my own business.,97118,697,11930,34.38,unemployed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,44244,784,29370,64.54,unemployed,Rejected
I need money to invest in a franchise business opportunity.,68016,713,33628,41.54,employed,Approved
I need money to purchase a food truck and start my own business.,77250,842,13918,23.53,employed,Approved
I need funds to buy new furniture and appliances for my house.,196566,834,7630,11.38,employed,Approved
I need financial support for medical treatment abroad.,123647,379,54113,28.17,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,137384,755,22952,17.78,unemployed,Rejected
I need money to cover funeral expenses for a loved one.,102602,568,60901,8.4,employed,Approved
I want to pay off my payday loans and switch to a lower-interest option.,98634,779,7301,15.32,employed,Approved
I need financial assistance to launch my own YouTube content creation business.,90222,697,19569,29.32,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,175733,557,30038,20.42,employed,Approved
I need funds to expand my home-based bakery to a physical store.,127423,344,31448,29.13,employed,Rejected
I need a loan to buy a reliable used car for work commuting.,27532,381,19647,124.77,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,125309,692,7092,38.95,employed,Approved
I need money to cover adoption fees and related expenses.,61983,314,43490,10.7,employed,Rejected
I need financial assistance to launch my own YouTube content creation business.,100728,433,68059,19.09,employed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,85073,651,24681,30.49,employed,Approved
"I need a loan for home renovation, including a kitchen remodel.",177921,618,44304,6.55,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,191605,711,29471,8.97,employed,Approved
I need money to cover unexpected medical expenses from surgery.,64395,669,43382,34.0,employed,Rejected
I need financial help to build my dream home in the countryside.,47763,381,27392,36.43,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,111263,463,42044,23.89,employed,Rejected
I need a loan to pay for a down payment on my first home.,122100,627,94904,26.41,employed,Rejected
I want to buy a car for my rideshare business on Uber.,99478,631,79569,6.75,employed,Rejected
I need money to invest in a franchise business opportunity.,58670,823,32593,77.32,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,60005,360,13556,80.81,employed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,71507,310,7629,44.14,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,66488,822,24999,56.84,unemployed,Rejected
I need money to invest in stock trading and portfolio building.,30247,321,20585,106.35,employed,Rejected
I want to invest in livestock to start a small dairy farm.,78466,783,4923,12.34,unemployed,Rejected
I need money to purchase a food truck and start my own business.,171648,360,26209,21.81,employed,Rejected
I need a loan to pay off overdue electricity and water bills.,192904,732,112123,11.22,employed,Approved
I need funds to pay for my pilot training program.,159598,840,68468,22.31,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,26732,493,4293,165.5,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,146863,338,26047,18.41,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,39884,819,12169,114.99,employed,Rejected
I need financial help to build my dream home in the countryside.,67319,762,4527,69.87,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,149399,507,68344,13.52,employed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",86266,392,26388,25.26,employed,Rejected
I want to buy a car for my rideshare business on Uber.,199778,619,79853,23.36,employed,Approved
I want to consolidate my credit card debts into one manageable payment.,89213,436,19488,20.68,employed,Rejected
I need funds to pay for my daughter's college tuition.,199052,696,144233,14.5,unemployed,Rejected
I need money to cover adoption fees and related expenses.,69800,528,37818,31.53,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,37554,534,29144,65.38,employed,Rejected
I need funds to enroll in a professional certification program.,36673,591,22127,91.9,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,142869,622,29764,25.81,employed,Approved
I need funds to launch my handmade jewelry brand online.,42174,556,11923,28.79,unemployed,Rejected
I want to expand my small online clothing store.,139641,494,24268,7.63,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,59226,418,31027,72.75,employed,Rejected
I need financial help to build my dream home in the countryside.,144178,708,61614,8.66,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",79880,635,47667,58.49,employed,Rejected
I need funds to pay for my daughter's college tuition.,30246,640,18062,99.64,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,137688,459,28567,26.92,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,122500,802,35434,21.72,employed,Approved
I want to invest in a rental property as a source of passive income.,67724,693,48081,26.15,employed,Rejected
I want to make home improvements like installing solar panels.,103867,356,76849,39.61,employed,Rejected
I want to invest in livestock to start a small dairy farm.,180781,816,12750,10.09,employed,Approved
I need a loan to develop and launch my mobile app startup.,39800,529,29785,46.63,unemployed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",86332,629,29387,8.94,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,150084,468,40154,30.38,employed,Rejected
I need funds to pay for my daughter's college tuition.,127521,442,60961,29.81,employed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,107812,426,76167,13.04,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,181162,752,39245,27.14,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,162284,692,82847,23.24,employed,Approved
I need financial assistance to buy farm equipment for my agricultural business.,119461,340,21240,39.59,unemployed,Rejected
I need money to publish and market my self-written book.,131448,500,71096,18.56,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,114786,701,18471,9.81,employed,Approved
I need money to invest in a franchise business opportunity.,178899,656,42401,14.44,employed,Approved
I want to make home improvements like installing solar panels.,29335,639,3591,64.41,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,107605,691,62858,28.44,unemployed,Rejected
I need a loan to pay for a down payment on my first home.,47408,516,5761,47.62,employed,Rejected
I want to invest in livestock to start a small dairy farm.,179273,450,141613,25.89,employed,Rejected
I want to consolidate my credit card debts into one manageable payment.,90785,472,43533,20.84,employed,Rejected
I need financial help to build my dream home in the countryside.,138217,709,91295,18.77,unemployed,Rejected
I need financial support to renovate my rental apartment.,113181,344,43406,33.44,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,161750,830,79724,16.7,employed,Approved
I need funds to pay for my pilot training program.,170401,351,63995,14.7,unemployed,Rejected
I need money to publish and market my self-written book.,158436,595,84950,28.87,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,20288,705,3393,37.17,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,169706,674,81602,25.97,employed,Approved
I want to purchase land to start an organic farming venture.,198144,435,149289,6.01,employed,Rejected
I need financial support for medical treatment abroad.,20233,808,9171,175.31,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",159760,815,44216,6.84,employed,Approved
I need money to cover unexpected medical expenses from surgery.,62675,525,14293,29.6,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,137654,362,19492,20.09,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,112646,539,41315,35.9,employed,Rejected
I need a loan to develop and launch my mobile app startup.,137669,406,19801,14.31,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,85164,443,67750,33.38,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,99647,380,23649,32.8,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,66486,440,9433,17.1,employed,Rejected
I need funds to enroll in a professional certification program.,105472,608,36593,45.21,unemployed,Rejected
I need money to publish and market my self-written book.,111887,315,40146,13.0,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,24796,372,18499,122.94,employed,Rejected
I need a loan to start a small business.,149697,404,117657,14.14,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,197823,801,4875,10.2,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,99568,703,59570,5.71,employed,Approved
I need financial support to pay for my son's football training program.,65072,358,3603,38.67,employed,Rejected
I need money to cover adoption fees and related expenses.,196941,605,75391,2.84,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,46894,462,30160,21.19,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,187774,510,82364,25.56,employed,Rejected
I need a loan to pay for legal fees related to my business license.,38179,580,12948,70.96,employed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,60992,316,16651,35.19,employed,Rejected
I need a loan to buy a motorcycle for daily transportation.,158645,745,115261,25.3,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,139858,749,51253,19.75,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,179973,813,53755,27.19,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,74078,454,38264,9.83,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,44800,716,24243,85.39,employed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,172655,301,124766,22.83,employed,Rejected
I want to expand my small online clothing store.,99774,689,68523,12.44,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,184700,467,60880,19.61,employed,Rejected
I need money to start a home-based catering business.,122218,772,31305,32.95,employed,Approved
I need a loan to cover hospital bills after an unexpected surgery.,121742,586,44758,12.6,employed,Approved
I need money to publish and market my self-written book.,155595,479,19528,13.23,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,183638,720,114208,23.11,unemployed,Rejected
I need money to invest in stock trading and portfolio building.,197688,802,39932,9.59,employed,Approved
I need a loan to buy a truck and start a moving business.,61151,561,47751,71.55,employed,Rejected
I need funds to stock inventory for my new retail store.,190199,388,61427,11.14,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,21393,702,9470,45.4,unemployed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,125958,320,52926,22.57,employed,Rejected
I need money to invest in stock trading and portfolio building.,86136,679,49025,7.86,unemployed,Rejected
I need financial help to cover maternity and delivery expenses.,194660,836,101232,8.22,employed,Approved
I need funds to expand my home-based bakery to a physical store.,172829,397,73489,10.47,employed,Rejected
I need a loan to upgrade my small music studio with better equipment.,197002,372,89858,7.73,employed,Rejected
I need financial support for medical treatment abroad.,103897,701,11927,15.49,unemployed,Rejected
I need money to start a home-based catering business.,144603,746,40285,5.61,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,97940,450,15228,22.93,unemployed,Rejected
I need a loan to develop and launch my mobile app startup.,197549,726,99358,12.98,employed,Approved
I need funds to expand my home-based bakery to a physical store.,38437,704,9401,22.35,unemployed,Rejected
I need money to purchase a food truck and start my own business.,84559,327,58499,8.01,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,141382,702,91376,21.47,employed,Rejected
I need financial help to cover maternity and delivery expenses.,77121,373,41417,24.99,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,74990,773,32309,31.48,unemployed,Rejected
I need money to open a small bookstore and café.,178142,529,124838,20.94,unemployed,Rejected
I need financial support for medical treatment abroad.,99987,480,23134,21.84,unemployed,Rejected
I need money to publish and market my self-written book.,101761,373,71623,16.26,unemployed,Rejected
I need money to invest in a franchise business opportunity.,47782,436,10477,79.68,unemployed,Rejected
I want to make home improvements like installing solar panels.,61802,586,41143,69.94,unemployed,Rejected
I need money to invest in stock trading and portfolio building.,179715,593,133385,26.8,employed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,29747,716,4990,138.29,employed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,110960,711,2400,9.84,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,166545,735,50185,21.58,employed,Approved
I want to pay off my payday loans and switch to a lower-interest option.,156631,702,35881,24.25,employed,Approved
"I need a loan for home renovation, including a kitchen remodel.",119202,463,61312,19.36,employed,Rejected
I need funds to pay for my pilot training program.,111072,701,26458,40.83,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,38235,486,12019,17.47,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,113016,431,4451,33.55,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,130384,606,101434,27.19,unemployed,Rejected
I need a loan to start a small business.,49775,730,25597,86.58,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,59572,545,25922,29.64,employed,Rejected
I need a loan to buy a truck and start a moving business.,27945,709,8999,104.94,employed,Rejected
I need money to cover funeral expenses for a loved one.,143790,638,91380,21.12,employed,Rejected
I need funds to buy new furniture and appliances for my house.,105921,601,48896,18.69,employed,Approved
I need a loan to buy a motorcycle for daily transportation.,174241,319,95212,14.58,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,164524,662,122663,27.06,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,96053,349,6125,28.37,employed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,102841,389,53318,6.26,unemployed,Rejected
I need money to invest in a franchise business opportunity.,23324,682,17826,177.71,employed,Rejected
I need funds to launch my handmade jewelry brand online.,169099,460,69428,27.81,employed,Rejected
I want to start a local transportation service and need funds for a van.,42340,644,17132,93.31,employed,Rejected
I need financial help to pay off my high-interest payday loans.,118213,800,23093,7.34,employed,Approved
I want to make home improvements like installing solar panels.,127926,699,88078,24.52,employed,Rejected
I need a loan to buy a motorcycle for daily transportation.,161285,486,116165,24.42,employed,Rejected
I need financial help to build my dream home in the countryside.,181102,818,104247,24.69,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,192259,396,145685,19.04,employed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,87674,492,12366,34.4,employed,Rejected
I need funds to launch my handmade jewelry brand online.,83255,525,50525,23.52,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,94686,501,62122,24.85,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,33748,538,22068,72.0,employed,Rejected
I need financial assistance to launch my own YouTube content creation business.,142073,574,106029,19.26,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,36914,411,12472,71.97,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,127232,303,51186,34.64,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,117009,749,65669,32.92,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,27199,377,18854,131.87,employed,Rejected
I need money to open a small bookstore and café.,45147,591,31872,102.29,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,138613,599,95294,29.2,employed,Rejected
I need financial help to pay off my high-interest payday loans.,139640,809,66040,9.86,employed,Approved
I want to consolidate my credit card debts into one manageable payment.,49314,737,39317,93.19,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,117768,456,63287,10.13,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,191021,700,146722,13.4,unemployed,Rejected
I need funds to buy new furniture and appliances for my house.,164960,733,39776,25.36,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,166131,323,103698,29.35,unemployed,Rejected
I want to make home improvements like installing solar panels.,99602,682,76434,35.7,unemployed,Rejected
I want to purchase land to start an organic farming venture.,139141,501,9601,29.64,unemployed,Rejected
I need funds to expand my home-based bakery to a physical store.,138486,780,18175,34.05,employed,Approved
I want to purchase land to start an organic farming venture.,131251,385,86054,13.2,employed,Rejected
I want to invest in livestock to start a small dairy farm.,184394,532,127106,8.44,unemployed,Rejected
I need a loan to repair my car after an accident.,175931,392,75465,17.53,unemployed,Rejected
I need money to cover funeral expenses for a loved one.,171477,761,122589,17.95,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,172915,718,131945,14.09,employed,Rejected
I need financial help to install a swimming pool in my backyard.,41020,793,32805,69.13,employed,Rejected
I need money to start a home-based catering business.,30213,742,21761,39.91,unemployed,Rejected
I want to purchase land to start an organic farming venture.,49744,389,21713,74.0,unemployed,Rejected
I need a loan to repair my car after an accident.,94225,586,55061,9.37,employed,Approved
I need financial help to pay off my high-interest payday loans.,50907,335,7638,85.56,unemployed,Rejected
I need financial support for medical treatment abroad.,133587,725,56009,34.19,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,139259,816,29139,14.83,employed,Approved
I need money to cover adoption fees and related expenses.,119426,512,27142,31.19,employed,Rejected
I need money to invest in a franchise business opportunity.,155425,478,26357,16.06,unemployed,Rejected
I want to start a local transportation service and need funds for a van.,38690,429,2464,20.74,unemployed,Rejected
I need money to purchase specialized tools for my auto repair shop.,165839,759,111651,9.26,unemployed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,117114,732,12309,37.0,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,23897,374,18793,64.16,employed,Rejected
I need financial help to build my dream home in the countryside.,199765,665,21601,12.1,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,121350,327,90893,30.45,employed,Rejected
I want to purchase land to start an organic farming venture.,31055,301,21968,107.16,unemployed,Rejected
I want to purchase land to start an organic farming venture.,63478,639,4281,28.55,employed,Approved
I need a loan to cover moving expenses after being transferred to another city.,105926,683,67742,33.76,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,107970,486,20859,13.74,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",24832,694,16673,111.57,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,188218,418,72339,12.99,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,41750,819,31817,115.31,employed,Rejected
I need money to cover funeral expenses for a loved one.,94771,447,50619,5.36,unemployed,Rejected
I need money to cover adoption fees and related expenses.,37740,811,10194,18.01,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,157607,783,104705,29.87,employed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,148173,697,17302,9.64,employed,Approved
I need financial assistance to launch my own YouTube content creation business.,146723,411,31829,9.97,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,122124,651,30617,31.32,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,178300,302,26179,27.59,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,113838,404,56302,17.32,unemployed,Rejected
I need a loan to buy a motorcycle for daily transportation.,63801,456,36597,11.79,unemployed,Rejected
I want to expand my small online clothing store.,199531,328,27338,7.08,employed,Rejected
I need money to cover unexpected medical expenses from surgery.,115291,325,50932,36.79,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,147104,498,70424,16.53,employed,Rejected
I need money to start a home-based catering business.,123947,306,74206,39.57,employed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,136371,609,98079,4.41,unemployed,Rejected
I need money to purchase a food truck and start my own business.,74429,618,19685,34.16,employed,Approved
I want to start a small roadside food stall and need funds for equipment.,116722,685,51529,28.38,employed,Approved
I need financial support to open a daycare center in my neighborhood.,68713,389,12157,28.5,employed,Rejected
I need financial support for medical treatment abroad.,182674,682,31024,3.09,unemployed,Rejected
I need funds to pay for my pilot training program.,41524,340,5411,42.71,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,109043,814,73904,4.86,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,119218,787,5442,41.5,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,50012,529,36072,78.68,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,177994,318,90552,12.77,employed,Rejected
I need financial support to open a daycare center in my neighborhood.,194431,781,22614,8.86,employed,Approved
I want to consolidate my credit card debts into one manageable payment.,91059,432,12473,7.87,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,111698,463,30788,32.53,employed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,164142,749,47016,18.76,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,68676,490,8043,33.48,employed,Rejected
I need money to publish and market my self-written book.,122124,643,92681,5.36,employed,Rejected
I need a loan to upgrade my small music studio with better equipment.,101853,427,13574,8.42,unemployed,Rejected
I need financial support for medical treatment abroad.,61840,485,39359,36.13,employed,Rejected
I need money to start a home-based catering business.,86794,569,53424,7.83,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,110596,481,18599,12.1,employed,Rejected
I need a loan to buy a truck and start a moving business.,120913,584,51679,33.42,employed,Approved
I need a loan to install a security system at home.,167013,472,89462,16.67,employed,Rejected
I need financial support to renovate my rental apartment.,77508,480,53122,12.74,employed,Rejected
I need a loan to build a website and market my freelance services.,64685,586,25736,43.19,employed,Approved
I want to purchase land to start an organic farming venture.,40203,824,2817,40.94,employed,Approved
I need money to invest in a franchise business opportunity.,49849,762,1137,77.51,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,72356,648,34965,27.19,unemployed,Rejected
I need a loan to pay for a down payment on my first home.,71445,453,11156,31.32,employed,Rejected
I need financial help to cover maternity and delivery expenses.,141706,360,57466,13.85,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,172160,491,126351,14.93,employed,Rejected
I need financial support to pay for my son's football training program.,68984,790,49669,69.39,employed,Rejected
I need a loan to start a small business.,88624,740,10431,48.24,employed,Approved
I need a loan to pay for a down payment on my first home.,57590,387,15936,82.58,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",67466,741,26094,14.34,unemployed,Rejected
I need funds to enroll in a professional certification program.,121249,786,66214,13.9,employed,Approved
I need financial help to pay off my high-interest payday loans.,57997,599,3481,17.58,employed,Approved
I want to buy a car for my rideshare business on Uber.,62473,399,36029,9.74,employed,Rejected
I want to consolidate my credit card debts into one manageable payment.,164073,511,3450,10.5,employed,Rejected
I need money to purchase a food truck and start my own business.,79340,425,16582,53.98,unemployed,Rejected
I want to expand my small online clothing store.,106382,553,9981,10.27,employed,Approved
I want to invest in a rental property as a source of passive income.,34078,793,3610,59.13,employed,Rejected
